name,followers,popularity,genres,chart_hits
Adel Ebrahim And Mohamed Al Shehhi,42206.0,10,['khaliji'],['sa (1)']
Daryl Ong,618487.0,46,['opm'],['ph (3)']
MoStack,460979.0,59,"['afro dancehall', 'afroswing', 'grime', 'london rap', 'uk hip hop']","['gb (15)', 'ie (3)']"
The 2 Johnnies,32852.0,37,['irish country'],['ie (1)']
Guy Mazig,42044.0,43,['israeli hip hop'],['il (1)']
Ana Mena,525376.0,70,"['latin pop', 'spanish pop']","['ar (1)', 'bo (1)', 'cl (1)', 'ec (1)', 'gt (1)', 'it (2)', 'pa (1)', 'py (1)', 'pe (1)', 'es (11)', 'uy (1)', 'ad (1)']"
Mawi,52363.0,29,['cumbia pop'],"['ar (1)', 'uy (4)']"
Thegiornalisti,1096049.0,57,"['italian adult pop', 'italian indie pop', 'italian pop', 'rome indie']",['it (14)']
Kamufle,150510.0,44,"['turkish hip hop', 'turkish trap pop']",['tr (4)']
Echosmith,586365.0,61,['indie poptimism'],"['us (2)', 'gb (1)', 'ar (2)', 'au (2)', 'at (1)', 'be (2)', 'bo (1)', 'br (3)', 'bg (2)', 'ca (2)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (2)', 'dk (2)', 'do (2)', 'ec (1)', 'sv (2)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (3)', 'gt (2)', 'hn (2)', 'hk (3)', 'hu (2)', 'is (2)', 'ie (2)', 'it (2)', 'lv (3)', 'lt (5)', 'lu (1)', 'my (5)', 'mt (3)', 'mx (2)', 'nl (2)', 'nz (2)', 'ni (1)', 'no (1)', 'pa (2)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (3)', 'pt (3)', 'ro (1)', 'sg (3)', 'sk (3)', 'es (3)', 'se (2)', 'ch (2)', 'tw (2)', 'th (1)', 'tr (2)', 'uy (2)']"
Capo,481795.0,67,['german hip hop'],"['at (21)', 'de (33)', 'lu (7)', 'ch (18)']"
The Academic,132514.0,55,"['irish indie', 'modern alternative rock', 'modern rock']",['ie (2)']
Saweetie,1658482.0,73,"['cali rap', 'dance pop', 'pop', 'rap', 'trap queen']","['us (5)', 'gb (2)', 'au (4)', 'at (1)', 'be (2)', 'bg (3)', 'ca (5)', 'cy (2)', 'cz (1)', 'dk (1)', 'ee (3)', 'fi (3)', 'de (1)', 'gr (2)', 'hk (1)', 'hu (2)', 'is (2)', 'ie (2)', 'il (1)', 'lv (3)', 'lt (3)', 'lu (2)', 'my (1)', 'nl (1)', 'nz (4)', 'no (3)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (2)', 'sa (2)', 'sg (1)', 'sk (1)', 'za (3)', 'kr (1)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'tr (1)', 'ua (1)', 'ae (3)', 'vn (1)']"
Rajaa Belmir,245954.0,39,['moroccan pop'],"['ma (3)', 'sa (1)']"
NASKA,49149.0,55,"['emo rap italiano', 'italian hip hop']",['it (3)']
Pressa,108687.0,54,"['canadian hip hop', 'melodic rap', 'rap montrealais', 'toronto rap', 'trap']",['ca (3)']
Separ,194102.0,56,"['czsk hip hop', 'slovak hip hop']","['cz (9)', 'sk (52)']"
David Zowie,26539.0,46,"['house', 'uk house']","['gb (1)', 'au (1)', 'ie (1)', 'lv (1)', 'mt (1)', 'nl (1)']"
HAZEY,27218.0,50,['scouse rap'],"['gb (2)', 'ie (1)']"
Rich Music LTD,231585.0,64,"['reggaeton', 'trap latino']","['ar (7)', 'bo (7)', 'cl (9)', 'co (7)', 'cr (7)', 'do (8)', 'ec (7)', 'sv (7)', 'gt (6)', 'hn (7)', 'mx (6)', 'ni (5)', 'pa (10)', 'py (8)', 'pe (8)', 'es (7)', 'uy (8)']"
Tritonal,220430.0,57,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']","['us (1)', 'be (1)', 'bg (1)', 'ca (2)', 'cz (1)', 'ee (1)', 'fi (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'lv (2)', 'lt (4)', 'my (1)', 'mt (2)', 'ph (1)', 'pl (2)', 'pt (1)', 'sg (1)', 'sk (2)', 'ch (1)', 'tw (1)', 'tr (1)']"
La Rosy,13025.0,44,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap pop']",['se (1)']
The ocn,404.0,1,[],['ni (1)']
King George,32868.0,50,[],['nz (3)']
Dylisa,17181.0,46,"['dutch hip hop', 'dutch rap pop']",['nl (2)']
Marco Masini,256498.0,47,"['classic italian pop', 'europop', 'italian adult pop']",['it (3)']
DMNDS,24781.0,62,[],"['at (1)', 'be (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'fr (2)', 'de (1)', 'hu (1)', 'ie (1)', 'lu (2)', 'nl (1)', 'no (2)', 'se (2)', 'ch (1)']"
ILUX,48365.0,40,"['dangdut', 'javanese dangdut', 'lagu jawa']",['id (1)']
Carla's Dreams,409219.0,51,"['moldovan pop', 'romanian pop']","['ee (1)', 'fi (1)', 'lt (2)', 'ro (12)', 'se (1)']"
SHAED,154146.0,59,"['electropop', 'pop']","['us (2)', 'gb (1)', 'au (2)', 'at (2)', 'be (2)', 'bg (2)', 'ca (2)', 'cy (2)', 'cz (2)', 'dk (1)', 'eg (1)', 'ee (2)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (2)', 'hk (2)', 'hu (2)', 'is (1)', 'in (1)', 'id (1)', 'ie (2)', 'il (2)', 'jp (1)', 'lv (2)', 'lt (2)', 'lu (2)', 'my (2)', 'mt (2)', 'ma (1)', 'nl (1)', 'nz (2)', 'no (1)', 'ph (2)', 'pl (2)', 'pt (2)', 'ro (2)', 'sa (1)', 'sg (2)', 'sk (2)', 'za (1)', 'se (1)', 'ch (2)', 'tw (2)', 'th (2)', 'ae (1)', 'vn (2)']"
Doruk Kurt,195.0,2,['g-house'],['sa (1)']
Kit Chan,26856.0,43,"['c-pop', 'classic mandopop', 'mandopop', 'singaporean mandopop', 'singaporean pop', 'xinyao']","['sg (1)', 'tw (2)']"
Shila Amzah,60578.0,37,['malaysian pop'],['my (3)']
L'Allemand,329060.0,54,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']",['fr (2)']
Emma Stone,34530.0,56,['hollywood'],"['gb (2)', 'be (1)', 'cz (1)', 'fr (1)', 'gr (2)', 'hk (2)', 'hu (2)', 'id (2)', 'ie (1)', 'it (1)', 'lu (1)', 'my (1)', 'mt (1)', 'pl (2)', 'pt (2)', 'sg (1)', 'es (2)', 'tw (2)']"
Andrea,7311.0,36,"['bulgarian pop', 'chalga']",['bg (2)']
Aka 7even,354030.0,54,"['italian adult pop', 'italian pop']",['it (8)']
Eddy Joniel,332.0,32,['panamanian pop'],"['cr (1)', 'pa (1)']"
Ali471,105057.0,53,"['german hip hop', 'turkish trap pop']","['at (7)', 'de (13)', 'ma (1)', 'ch (3)', 'tr (1)']"
Tanatat Chaiyaat,40959.0,31,['thai viral pop'],['th (1)']
Tream,75016.0,65,['partyschlager'],"['at (1)', 'de (7)']"
Mister Jam,4323.0,29,[],['br (1)']
Lomosonic,86210.0,33,"['thai indie', 'thai pop']",['th (3)']
Daniel Chan,23969.0,46,"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop', 'mandopop']",['hk (1)']
Mila,20333.0,43,"['arrochadeira', 'brega funk']",['br (2)']
Doc Ketamer,49.0,1,[],"['ee (4)', 'lv (2)']"
Bene,11704.0,0,['nz pop'],"['au (2)', 'nz (2)']"
Mina Lund,1964.0,30,['talentkonkurranse'],['no (2)']
IBO,741.0,18,[],['dk (1)']
Patience Hardy,15.0,0,[],['sa (1)']
William A.,776.0,27,[],['se (1)']
ITALIAN ALLSTARS 4 LIFE,4071.0,24,[],['it (1)']
Soa mattrix,10289.0,28,[],['za (1)']
Kylie Minogue,1543092.0,68,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'uk pop']","['us (1)', 'gb (3)', 'au (3)', 'at (1)', 'be (1)', 'bg (1)', 'ca (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (3)', 'fr (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (2)', 'it (3)', 'lv (1)', 'lt (1)', 'lu (1)', 'mt (1)', 'nl (1)', 'nz (2)', 'no (2)', 'pl (2)', 'pt (1)', 'ro (1)', 'sg (1)', 'sk (1)', 'za (1)', 'se (1)', 'ch (1)', 'tw (2)', 'ae (1)']"
Elov & Beny,20612.0,57,"['danspunk', 'swedish eurodance', 'swedish pop']","['no (1)', 'se (3)']"
Taylor Henderson,38474.0,37,"['australian pop', 'australian talent show']",['au (1)']
Mankirt Aulakh,2851842.0,60,"['desi pop', 'punjabi pop']",['in (10)']
Solange Almeida,1253353.0,48,"['forro', 'sertanejo pop']",['br (4)']
Asma Lmnawar,253606.0,33,"['arab pop', 'moroccan pop']",['ma (1)']
Fay,932.0,0,['v-pop'],['vn (1)']
Abi,126971.0,38,['romanian trap'],['ro (11)']
Hungria Hip Hop,8023384.0,70,"['brazilian hip hop', 'rap df', 'trap brasileiro']",['br (12)']
DOBERMAN INFINITY,110825.0,46,"['j-division', 'j-pop']",['jp (1)']
Henrique & Juliano,16541414.0,81,"['arrocha', 'sertanejo universitario']","['br (87)', 'py (5)', 'pt (2)']"
Rain,106189.0,48,['classic k-pop'],['tw (1)']
7th Block,8680.0,30,"['lithuanian hip hop', 'lithuanian trap']",['lt (4)']
Studio Killers,214392.0,59,[],"['gb (1)', 'at (1)', 'be (1)', 'bg (1)', 'cy (1)', 'cz (1)', 'ee (1)', 'fi (2)', 'de (1)', 'hu (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'nl (1)', 'no (1)', 'pl (1)', 'ro (1)', 'sk (1)', 'se (1)', 'ch (1)']"
HAIM,1210287.0,65,"['art pop', 'metropopolis']","['us (1)', 'gb (7)', 'au (3)', 'be (1)', 'bg (1)', 'cz (1)', 'ee (2)', 'gr (1)', 'hu (1)', 'id (1)', 'ie (3)', 'lv (2)', 'lt (2)', 'lu (1)', 'mt (1)', 'nz (1)', 'pl (1)', 'sk (2)', 'se (1)', 'ch (1)']"
Zbigniew Preisner,66077.0,46,"['compositional ambient', 'polish contemporary classical', 'soundtrack']",['pl (1)']
Seif Magdy,67875.0,32,['mahraganat'],['eg (1)']
Jett Rebel,32463.0,33,"['dutch indie', 'dutch pop', 'dutch rock']",['nl (1)']
TIPPA,14869.0,44,"['finnish dance pop', 'finnish hip hop', 'finnish trap']",['fi (26)']
Philip Anthony,46.0,0,[],['ni (1)']
Coldly1989,2.0,0,[],['ni (2)']
Konstantinos Koufos,45644.0,41,"['greek pop', 'laiko']",['gr (2)']
Melanie Thornton,9383.0,32,[],"['at (1)', 'de (1)', 'lu (1)', 'pl (1)', 'ch (1)']"
Nakry,57274.0,46,"['french hip hop', 'pop urbaine', 'rap francais']",['fr (2)']
RM,10898859.0,70,['k-rap'],"['bg (3)', 'id (1)', 'lt (2)', 'my (7)', 'ro (1)', 'sg (1)', 'tw (7)', 'th (2)', 'vn (7)']"
PORTRAIT,35763.0,38,"['thai indie pop', 'thai pop']",['th (3)']
Flow Mafia,33529.0,40,"['rap dominicano', 'trap dominicano']",['do (2)']
Hawk,166359.0,59,"['greek hip hop', 'greek trap']","['cy (14)', 'gr (17)']"
Gallo Nero,14646.0,44,['german hip hop'],"['at (3)', 'de (3)', 'lu (1)', 'ch (2)']"
Gianni Celeste,91423.0,46,['canzone napoletana'],['it (1)']
Garbanotas,6820.0,27,"['dainuojamoji poezija', 'lithuanian indie']",['lt (1)']
CAMO,35703.0,51,['korean r&b'],['kr (1)']
Miu Chu,43014.0,39,"['mandopop', 'taiwan pop']",['tw (9)']
Armaan Malik,5.0,72,"['desi pop', 'filmi', 'modern bollywood']",['in (14)']
Bigtoy & Stender,47.0,2,[],['no (1)']
Better Weather,116873.0,37,['thai pop'],['th (5)']
Nina Chuba,85574.0,69,"['german hip hop', 'hamburg hip hop']","['at (1)', 'de (3)', 'lu (1)', 'ch (1)']"
Frsh,28659.0,52,"['dutch hip hop', 'dutch rap pop']",['nl (18)']
Kat Deluna,713106.0,51,"['dance pop', 'post-teen pop']",['nz (1)']
Uzishettan,8978.0,34,['rap maroc'],['ma (2)']
Gavin D,225077.0,48,"['thai hip hop', 'thai pop']",['th (11)']
Madison Beer,5408447.0,72,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']","['us (4)', 'gb (3)', 'au (4)', 'at (5)', 'be (3)', 'bg (7)', 'ca (6)', 'cy (7)', 'cz (3)', 'dk (1)', 'ee (5)', 'fi (1)', 'de (1)', 'gr (6)', 'hk (4)', 'hu (6)', 'is (1)', 'id (1)', 'ie (3)', 'il (2)', 'lv (4)', 'lt (5)', 'lu (5)', 'my (3)', 'mt (5)', 'nl (1)', 'nz (3)', 'no (3)', 'ph (1)', 'pl (2)', 'pt (3)', 'ro (5)', 'sa (3)', 'sg (5)', 'sk (5)', 'za (1)', 'kr (1)', 'se (1)', 'ch (2)', 'tr (1)', 'ae (4)', 'vn (1)']"
FoKuS,12.0,0,[],['sk (1)']
Ezhel,5081934.0,74,"['turkish hip hop', 'turkish trap']","['at (1)', 'cy (7)', 'de (2)', 'tr (27)']"
Galsat Tarab,249.0,27,[],['sa (1)']
Yabai T-Shirts Yasan,319783.0,46,"['j-pop', 'j-rock']",['jp (2)']
Alien Huang,81907.0,43,"['mandopop', 'taiwan pop']","['hk (3)', 'my (1)', 'sg (3)', 'tw (9)']"
The Brick Simphony,290.0,0,[],['it (9)']
Skam,6358.0,29,['greek trap'],['gr (2)']
DJ Kadr,2462.0,31,['czech hip hop'],['cz (1)']
Q-Mark,63316.0,38,['amapiano'],['za (1)']
JojoHF,42333.0,45,['russian hip hop'],"['lv (1)', 'ru (2)', 'ua (2)']"
Burak Bulut,281802.0,66,['turkish trap pop'],"['cy (2)', 'tr (7)']"
Ingratax,319943.0,64,"['concurso de talentos argentino', 'latin pop']","['ar (1)', 'bo (1)', 'cl (1)', 'co (1)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'lu (1)', 'mx (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (1)', 'uy (1)']"
Shadow Blow,157729.0,47,"['dembow', 'dominican pop', 'rap dominicano']",['do (10)']
Israel Novaes,1481026.0,51,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (2)']
Caroline Berg Eriksen,368.0,9,[],['no (1)']
Therapie TAXI,468762.0,59,"['french indie pop', 'french pop', 'new french touch']","['be (2)', 'fr (5)', 'lu (1)']"
Haring 68,4.0,0,[],['ni (10)']
MGMT,2590142.0,74,"['indietronica', 'modern rock', 'rock']","['us (1)', 'gb (2)', 'at (1)', 'br (1)', 'ca (1)', 'co (1)', 'dk (1)', 'ee (1)', 'gr (1)', 'ie (2)', 'lv (3)', 'lt (2)', 'nl (1)', 'pe (3)', 'pl (2)', 'ru (1)', 'es (1)', 'ua (1)']"
Timelock,9965.0,26,"['full on', 'progressive psytrance', 'psychedelic trance']",['il (1)']
SIRUP,224926.0,52,"['japanese r&b', 'japanese soul']",['jp (3)']
Jarkko Ahola,8277.0,27,[],['fi (4)']
Vincent Bueno,1968.0,19,[],['is (1)']
Shad,7606.0,23,['traprun'],['lu (1)']
Falkon,13648.0,33,"['hungarian pop', 'magyar trap']",['hu (1)']
High15,4913.0,29,['swedish pop'],['se (1)']
HowZ,24281.0,41,['taiwan hip hop'],['tw (1)']
Low Steppa,66674.0,51,"['dance pop', 'deep groove house', 'deep house', 'house', 'pop dance', 'tropical house', 'uk dance']",['ie (1)']
Sadie Jean,98797.0,59,[],"['us (1)', 'gb (1)', 'au (1)', 'ca (1)', 'ie (1)']"
Rayna,16528.0,28,"['bulgarian pop', 'chalga']",['bg (1)']
Pankbanken,2360.0,25,['kalmar indie'],['se (1)']
Malle Anja,741.0,53,[],['de (1)']
Jonas Brothers,6486402.0,75,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']","['us (20)', 'gb (7)', 'ar (1)', 'au (6)', 'at (5)', 'be (6)', 'bo (1)', 'br (2)', 'bg (6)', 'ca (8)', 'cl (1)', 'co (2)', 'cr (3)', 'cy (7)', 'cz (5)', 'dk (5)', 'do (3)', 'ec (1)', 'eg (3)', 'sv (2)', 'ee (7)', 'fi (6)', 'fr (3)', 'de (4)', 'gr (6)', 'gt (1)', 'hn (3)', 'hk (6)', 'hu (7)', 'is (4)', 'in (4)', 'id (3)', 'ie (8)', 'il (4)', 'it (2)', 'jp (3)', 'lv (7)', 'lt (7)', 'lu (7)', 'my (4)', 'mt (7)', 'mx (1)', 'ma (3)', 'nl (7)', 'nz (4)', 'ni (1)', 'no (5)', 'pa (4)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (7)', 'pt (4)', 'ro (6)', 'sa (3)', 'sg (6)', 'sk (6)', 'za (5)', 'kr (3)', 'es (3)', 'se (5)', 'ch (6)', 'tw (6)', 'th (4)', 'tr (1)', 'ae (5)', 'uy (1)', 'vn (4)']"
Big Baby Tape,853405.0,60,"['russian hip hop', 'russian trap']","['ee (19)', 'lv (20)', 'lt (7)', 'ru (22)', 'ua (22)']"
Big2,19665.0,55,"['dutch hip hop', 'dutch pop']",['nl (5)']
Yei Gonzalez,2640.0,54,[],['se (3)']
Luthfi Aulia,43110.0,54,"['indonesian folk pop', 'indonesian pop']",['id (1)']
Sissi,67941.0,46,['italian pop'],['it (3)']
Flosi V,127.0,1,['icelandic hip hop'],['is (1)']
Counting Crows,1538495.0,67,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",['ca (1)']
Patrick Watson,491666.0,70,[],"['gb (1)', 'be (1)', 'ca (2)', 'ee (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'nl (1)', 'no (1)', 'pl (1)', 'ch (1)']"
Janusz Walczuk,91620.0,58,"['polish hip hop', 'polish trap']",['pl (10)']
Foo Fighters,10184722.0,77,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']","['us (3)', 'gb (21)', 'ar (1)', 'au (7)', 'at (9)', 'be (7)', 'br (8)', 'bg (4)', 'ca (4)', 'cl (1)', 'co (4)', 'cr (11)', 'cz (5)', 'ee (6)', 'fi (2)', 'fr (1)', 'de (3)', 'gr (2)', 'hu (7)', 'ie (9)', 'it (3)', 'lv (15)', 'lt (5)', 'lu (2)', 'mt (2)', 'nl (3)', 'nz (11)', 'no (3)', 'pl (4)', 'pt (15)', 'sk (4)', 'se (10)', 'ch (7)', 'tr (1)']"
b ray,49.0,0,[],['vn (1)']
60Miles,38614.0,33,['thai pop'],['th (1)']
Gloria Estefan,637674.0,65,"['dance pop', 'latin pop']","['at (1)', 'de (1)']"
EX,31916.0,50,"['new school turkce rap', 'turkce drill']",['tr (1)']
Paul Rey,30160.0,47,"['eurovision', 'swedish pop']","['no (1)', 'se (4)']"
Friday Santana,3389.0,23,[],['hk (1)']
Katerina,1589.0,26,['greek pop'],['gr (1)']
Tamta,68361.0,44,"['greek pop', 'laiko']","['cy (3)', 'ee (1)', 'fi (1)', 'gr (6)', 'is (1)', 'il (1)', 'lt (1)', 'mt (1)', 'nl (1)', 'no (1)', 'es (1)', 'se (1)']"
Marta Sango,21363.0,29,"['latin talent show', 'latin viral pop']",['es (3)']
Adrien Gallo,5562.0,26,[],['fr (1)']
JEEMBO,152442.0,47,"['russian drill', 'russian emo rap', 'russian hip hop', 'russian trap']","['ru (11)', 'ua (1)']"
Joker,154091.0,49,"['turkish hip hop', 'turkish trap']",['tr (9)']
Milli,929.0,21,[],['th (2)']
Erick Hannah,599.0,2,[],['eg (20)']
Japa,138092.0,53,['trap brasileiro'],['br (2)']
Sandesh Datta Naik,7869.0,50,[],['in (1)']
Tracey Chattaway,23724.0,35,[],"['ca (1)', 'pl (1)']"
Ashnikko,1768694.0,70,"['electropop', 'escape room', 'pop']","['us (3)', 'gb (2)', 'ar (1)', 'au (2)', 'at (2)', 'be (1)', 'br (1)', 'bg (3)', 'ca (3)', 'cy (2)', 'cz (2)', 'eg (2)', 'ee (3)', 'fi (3)', 'de (2)', 'gr (2)', 'hu (2)', 'is (2)', 'in (2)', 'id (1)', 'ie (2)', 'lv (3)', 'lt (3)', 'lu (2)', 'my (1)', 'mt (1)', 'ma (1)', 'nl (1)', 'nz (2)', 'no (2)', 'pa (1)', 'pl (2)', 'pt (1)', 'ro (3)', 'ru (2)', 'sa (2)', 'sg (1)', 'sk (2)', 'za (1)', 'ch (1)', 'tr (2)', 'ua (2)', 'ae (2)']"
Bogdan De La Ploiesti,82439.0,39,['manele'],['ro (2)']
Sigrid,646817.0,62,['norwegian pop'],"['gb (3)', 'au (1)', 'at (1)', 'ie (3)', 'il (1)', 'lt (2)', 'my (2)', 'mt (1)', 'no (26)', 'tw (1)', 'tr (1)']"
JohannesTib,2.0,0,[],['ee (2)']
Aram MP3,6854.0,28,"['armenian folk', 'armenian pop', 'eurovision']","['dk (1)', 'ee (1)', 'is (1)', 'lt (1)', 'se (1)']"
MEDUZA,551577.0,75,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']","['us (3)', 'gb (5)', 'ar (1)', 'au (3)', 'at (5)', 'be (5)', 'bo (1)', 'br (4)', 'bg (5)', 'ca (4)', 'co (1)', 'cr (1)', 'cy (4)', 'cz (4)', 'dk (5)', 'ec (2)', 'eg (2)', 'sv (1)', 'ee (5)', 'fi (4)', 'fr (3)', 'de (5)', 'gr (3)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (5)', 'is (4)', 'in (2)', 'id (1)', 'ie (6)', 'il (3)', 'it (5)', 'lv (5)', 'lt (5)', 'lu (5)', 'my (1)', 'mt (2)', 'mx (2)', 'ma (3)', 'nl (5)', 'nz (3)', 'ni (1)', 'no (5)', 'pa (1)', 'ph (1)', 'pl (4)', 'pt (3)', 'ro (5)', 'sa (1)', 'sg (2)', 'sk (4)', 'za (4)', 'kr (1)', 'es (3)', 'se (5)', 'ch (5)', 'tw (3)', 'ua (1)', 'ae (3)', 'uy (1)', 'vn (1)']"
Uji Rashid,20208.0,29,"['classic malaysian pop', 'malaysian pop', 'rock kapak']","['my (2)', 'sg (1)']"
Tarab Yanbaawey,369.0,25,[],['sa (1)']
Brian Pepito,1564.0,38,"['bisaya rap', 'vispop']",['ph (1)']
Kokab,4123.0,23,[],"['cz (1)', 'pl (2)', 'sk (1)']"
okeiokei,518.0,9,['estonian pop'],['ee (2)']
Meron,10975.0,27,['swedish trap pop'],['se (1)']
Alextbh,83302.0,42,['chill r&b'],['my (1)']
ROTE MÜTZE RAPHI,40600.0,53,"['frauenrap', 'german hip hop', 'german pop']",['de (1)']
Momi,19542.0,46,"['dutch hip hop', 'dutch rap pop']",['nl (4)']
Jung Dong Ha,21652.0,33,['korean pop'],['kr (1)']
STAYC,990621.0,68,"['k-pop', 'k-pop girl group']","['hk (2)', 'id (2)', 'my (4)', 'ph (2)', 'sg (3)', 'kr (6)', 'tw (2)', 'th (2)', 'vn (1)']"
Ebe Dancel,128841.0,49,"['opm', 'pinoy rock']",['ph (1)']
Kanthem,473.0,9,[],['no (1)']
blackbear,4772667.0,80,"['electropop', 'pop', 'pop rap']","['us (13)', 'gb (3)', 'au (4)', 'at (6)', 'be (3)', 'br (1)', 'bg (6)', 'ca (10)', 'cy (4)', 'cz (5)', 'dk (1)', 'do (1)', 'eg (1)', 'ee (6)', 'fi (4)', 'fr (1)', 'de (4)', 'gr (4)', 'hn (1)', 'hk (5)', 'hu (5)', 'is (2)', 'in (2)', 'id (2)', 'ie (3)', 'il (1)', 'it (1)', 'jp (1)', 'lv (5)', 'lt (5)', 'lu (4)', 'my (5)', 'mt (4)', 'ma (1)', 'nl (1)', 'nz (4)', 'no (6)', 'pa (1)', 'ph (4)', 'pl (3)', 'pt (3)', 'ro (3)', 'ru (1)', 'sa (3)', 'sg (7)', 'sk (4)', 'za (2)', 'kr (2)', 'se (2)', 'ch (4)', 'tw (6)', 'th (2)', 'ua (2)', 'ae (4)', 'vn (1)']"
Calixto Ochoa,17074.0,39,['cumbia'],['co (1)']
Kweyama Brothers,44910.0,37,['amapiano'],['za (1)']
dioronabeat,3158.0,0,[],['sa (2)']
Emma Muscat,134460.0,49,"['italian adult pop', 'italian pop']","['ee (1)', 'is (1)', 'it (3)', 'mt (7)']"
Rich Gang,873229.0,52,"['pop rap', 'rap', 'southern hip hop', 'trap']","['us (1)', 'ca (1)']"
ZOT on the WAVE,7492.0,48,[],['jp (1)']
Arios US,1517.0,31,[],['sa (1)']
Kohmi Hirose,161550.0,46,"['classic j-pop', 'j-pop', 'japanese singer-songwriter']",['jp (1)']
Hassa1,4935.0,33,[],['ma (1)']
Akira Phan,86156.0,30,['v-pop'],['vn (1)']
Family of the Year,148211.0,52,['stomp and holler'],"['us (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'my (1)', 'mt (1)', 'nl (1)', 'no (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'sg (1)', 'sk (1)', 'es (1)', 'se (1)', 'ch (1)', 'tw (2)', 'tr (1)', 'uy (1)']"
Rasta,316093.0,57,['turbo folk'],['at (1)']
Omer Netzer,11326.0,29,['israeli pop'],['il (1)']
Rotlaus,39284.0,51,"['norwegian country', 'norwegian pop']",['no (17)']
Pause,234715.0,42,"['moroccan pop', 'rap maroc']",['ma (8)']
Fismoll,30724.0,34,"['polish alternative', 'polish indie']",['pl (6)']
el ponte,465.0,0,[],['do (1)']
Sennek,2647.0,15,['belgian pop'],"['be (1)', 'lt (1)']"
Lizzy Ashliegh,961.0,26,[],['ni (1)']
Iggy,15909.0,40,['deep tropical house'],"['at (3)', 'de (3)', 'ch (1)']"
Mathilde Storm,903.0,27,"['norwegian indie', 'norwegian pop']",['no (1)']
I HATE MONDAY,2087.0,27,[],['th (1)']
Carly Pearce,262325.0,64,"['contemporary country', 'country', 'country road']","['us (1)', 'ca (1)']"
LEX,170405.0,55,['greek trap'],"['cy (11)', 'gr (20)']"
Happy Asmara,245347.0,60,"['dangdut koplo', 'javanese dangdut', 'lagu jawa']",['id (1)']
Rawan Bin Hussain,5017.0,36,[],"['ma (1)', 'sa (1)']"
Sima,225186.0,51,['czsk hip hop'],"['cz (6)', 'sk (36)']"
SIN,24370.0,38,['thai pop'],['th (5)']
Plan B,1968.0,5,[],"['ar (1)', 'cl (1)', 'co (1)', 'ec (1)', 'mx (1)', 'pe (1)', 'es (1)']"
Milano Ovest,6100.0,21,[],['it (1)']
Sui,92090.0,42,['japanese teen pop'],['jp (1)']
Asaf Goren,2485.0,16,[],['il (1)']
Lucie,173327.0,46,"['czech folk', 'czech pop', 'czech rock']",['cz (5)']
Maverick Sabre,248572.0,61,"['indie soul', 'irish hip hop', 'uk pop']","['br (1)', 'lt (1)', 'nl (1)']"
Phuc Du,15004.0,47,['v-pop'],['vn (2)']
THE YELLOW MONKEY,250948.0,46,"['j-pop', 'j-poprock', 'j-rock']",['jp (1)']
Rochak Kohli,286647.0,69,"['desi pop', 'modern bollywood']",['in (7)']
Tiger JK,33469.0,45,['k-rap'],['tw (1)']
